date	TitleName
20090201	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090204	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090224	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090302	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090312	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090316	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090322	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090331	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090401	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090404	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090405	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090406	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090408	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090409	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090410	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090411	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090412	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090413	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090414	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090417	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090418	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090419	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090420	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090421	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090423	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090426	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090427	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090428	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090429	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090501	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090504	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090505	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090506	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090507	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090508	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090519	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090521	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090527	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090601	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090603	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090605	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090607	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090608	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090611	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090612	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090617	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090618	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090624	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090625	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090710	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090713	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090722	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090731	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20090924	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20091013	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20091014	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20091105	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100102	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100103	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100111	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100123	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100223	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100224	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100226	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100227	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100318	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100322	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100328	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100330	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100401	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100406	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100501	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100508	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100520	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100601	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100602	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100605	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100617	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100714	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100911	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100922	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100926	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100928	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20100930	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101001	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101003	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101005	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101119	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101124	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101207	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101208	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101221	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101222	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101224	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101225	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101227	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101228	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101229	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101230	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20101231	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110101	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110103	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110105	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110107	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110108	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110110	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110111	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110112	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110113	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110115	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110119	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110121	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110123	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110124	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110125	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110127	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110130	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110131	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110201	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110208	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110211	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110224	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110225	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110226	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110228	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110301	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110302	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110304	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110308	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110309	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110311	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110314	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110316	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110317	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110318	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110319	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110320	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110323	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110324	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
20110327	Modi's early tweets while he is in his 3rd term as Chief Minister of Gujurat.
